id;album;track;lyrics
1;Please Please Me;I Saw Her Standing There;1 - 2 - 3 - 4 ! Well, she was just 17, You know what I mean, And the way she looked was way beyond compare. So how could I dance with another (ooh) When I saw her standin' there. Well she looked at me, and I, I could see That before too long I'd fall in love with her. She wouldn't dance with another (whooh) When I saw her standin' there. Well, my heart went boom, When I crossed that room, And I held her hand in mine... Whoah, we danced through the night, And we held each other tight, And before too long I fell in love with her. Now I'll never dance with another (whooh) Since I saw her standing there Well, my heart went boom, When I crossed that room, And I held her hand in mine... Whoah, we danced through the night, And we held each other tight, And before too long I fell in love with her. Now I'll never dance with another (whooh) Since I saw her standing there
2;Please Please Me;Misery;The world is treating me bad, misery I'm the kind of guy who never used to cry The world is treating me bad, misery I've lost her now for sure, I won't see her no more It's gonna be a drag, misery I'll remember all the little things we've done Can't she see she'll be the only one, only one Send her back to me, 'cause everyone can see Without her I will be in misery I'll remember all the little things we've done She'll remember and she'll miss her only one, lonely one Send her back to me, 'cause everyone can see Without her I will be in misery Ooh in misery, oo my misery
3;Please Please Me;Anna (Go to Him);Anna You come and ask me, girl To set you free, girl You say he loves you more than me So I will set you free Go with him (Anna) Go with him (Anna) Anna Girl, before you go now I want you to know now That I still love you so But if he loves you more Go with him All of my life I've been searchin' for a girl To love me like I love you Oh, now... but every girl I've ever had Breaks my heart and leaves my sad What am I, what am I supposed to do Anna Just one more thing, girl You give back your ring to me And I will set you free Go with him All of my life I've been searchin' for a girl To love me like I love you But let me tell you now... but every girl I've ever had Breaks my heart and leaves my sad What am I, what am I supposed to do Anna Just one more thing, girl You give back your ring to me And I will set you free Go with him (Anna) Go with him (Anna) You can go with him, girl (Anna) Go with him
4;Please Please Me;Chains;Chains, my baby's got me locked up in chains And they ain't the kind that you can see Whoa-oh, these chains of love got a hold on me, yeah Chains, well I can't break away from these chains Can't run around, 'cause I'm not free Whoa-oh, these chains of love won't let me be, yeah I wanna tell you, pretty baby I think you're fine I'd like to love you But, darlin', I'm imprisoned by these... Chains, my baby's got me locked up in chains And they ain't the kind that you can see Oh-oh, these chains of love got a hold on me, yeah Please believe me when I tell you Your lips are sweet I'd like to kiss them But I can't break away from all of these... Chains, my baby's got me locked up in chains And they ain't the kind that you can see Whoa-oh, these chains of love got a hold on me, yeah Chains, chains of love...
5;Please Please Me;Boys;I been told when a boy kiss a girl Take a trip around the world Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop) yeah, she say you do (bop shuop) My girl says when I kiss her lips Gets a thrill through her fingertips Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop) yeah, she say you do (bop shuop) Well, I talk about boys (yeah, yeah, boys) Don't you know I mean boys (yeah, yeah, boys) Well, I talk about boys, now (yeah, yeah, boys) Aaahhh, boys (yeah, yeah, boys) Well, I talk about boys, now (yeah, yeah, boys) What a bundle of joy! (yeah, yeah, boys) (Alright, George!) My girl says when I kiss her lips Gets a thrill through her fingertips Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop, m'bop bop shuop) Hey, hey (bop shuop) yeah, she say you do (bop shuop) Well, I talk about boys (yeah, yeah, boys) Don't you know I mean boys (yeah, yeah, boys) Well, I talk about boys, now (yeah, yeah, boys) Aaahhh (yeah, yeah, boys) Well, I talk about boys, now (yeah, yeah, boys) What a bundle of joy! (yeah, yeah, boys) Boys...
6;Please Please Me;Ask Me Why;I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know, That I, I, I, I should never, never, never be blue Now you're mine, my happiness still makes me cry And in time, you'll understand the reason why If I cry, It's not because I'm sad But you're the only love that I've ever had I can't believe it's happened to me I can't conceive of any more misery Ask me why, I'll say I love you And I'm always thinking of you I love you, 'cause you tell me things I want to know And it's true that it really only goes to show That I know, That I, I, I, I should never, never, never be blue Ask me why, I'll say I love you And I'm always thinking of you I can't believe it's happened to me I can't conceive of any more misery Ask me why, I'll say I love you And I'm always thinking of you, you, you
7;Please Please Me;Please Please Me;Last night I said these words to my girl, I know you never even try, girl, C'mon... Please please me, whoa yeah, like I please you. You don't need me to show the way, love. Why do I always have to say love, C'mon... Please please me, whoa yeah, like I please you. I don't wanna sound complainin', But you know there's always rain in my heart (in my heart). I do all the pleasin' with you, it's so hard to reason With you, whoah yeah, why do you make me blue. Last night I said these words to my girl, I know you never even try, girl, C'mon... Please please me, whoa yeah, like I please you
8;Please Please Me;Love Me Do;Love love me do You know I love you I'll always be true So please love me do Wo ho love me do Love love me do You know I love you I'll always be true So please love me do Wo ho love me do Someone to love Somebody new Someone to love Someone like you Love love me do You know I love you I'll always be true So please love me do Wo ho love me do Love love me do You know I love you I'll always be true So please love me do Wo ho love me do Yeah love me do Wo ho love me do
9;Please Please Me;P.S. I Love You;As I write this letter, send my love to you Remember that I'll always be in love with you Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you I'll be coming home again to you love Until the day I do love P.S. I love you You, you, you As I write this letter, send my love to you Remember that I'll always be in love with you Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you As I write this letter (oh), send my love to you (you know I want you to) Remember that I'll always (yeah) be in love with you I'll be coming home again to you love Until the day I do love P.S. I love you You, you, you You, you, you I love you
10;Please Please Me;Baby It's You;Sha la la la la la la la Sha la la la la la la la Sha la la la la la la la Sha la la la la It's not the way you smile that touched my heart (sha la la la la) It's not the way you kiss that tears me apart Uh, oh, many, many, many nights go by I sit alone at home and I cry over you What can I do Can't help myself, 'cause baby, it's you (sha la la la la la la) Baby, it's you (sha la la la la la la) (Sha la la la la) You should hear what they say about you, 'cheat', 'cheat' They say, they say you never never never ever been true (cheat, cheat) Uh oh It doesn't matter what they say I know I'm gonna love you any old way What can I do, and it's true Don't want nobody, nobody, 'cause baby, it's you (sha la la la la la la) Baby, it's you (sha la la la la la la) Uh oh It doesn't matter what they say I know I'm gonna love you any old way What can I do, when it's true Don't want nobody, nobody, 'cause baby, it's you (sha la la la la la la) Baby, it's you (sha la la la la la la) Don't leave me all alone...
